Name,Description,lat,lng
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: <br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2205809<br>longitud: -78.5143341,-0.2205809,-78.5143341
CIERRE DE VIAS,#: 1204<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres peatonales en Centro Histórico de Quito: Guayaquil y Chile<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2205129672894373<br>longitud: -78.51079401462576,-0.220512967,-78.51079401
CIERRE DE VIAS Y MANIFESTACIONES,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Mariscal Sucre y 24 de Mayo<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2192341<br>longitud: -78.520593,-0.2192341,-78.520593
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: <br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2190628<br>longitud: -78.5129286,-0.2190628,-78.5129286
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Mejia y Gracia Moreno<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2189042<br>longitud: -78.511685,-0.2189042,-78.511685
PCIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: <br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2183611<br>longitud: -78.5123829,-0.2183611,-78.5123829
CIERRE DE VIAS Y MANIFESTACIONES,#: 1239<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Piedranita y Av. Gran Colombia<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.21417795912686322<br>longitud: -78.49889192811638,-0.214177959,-78.49889193
CIERRE DE VIAS Y MANIFESTACIONES,#: 1240<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Luis Saa y Hnos. Pazmiño<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2139496084660932<br>longitud: -78.50011145450777,-0.213949608,-78.50011145
CIERRE DE VIAS Y MANIFESTACIONES,#: 1241<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Hnos. Pazmiño y 6 de Diciembre<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.21342607285338805<br>longitud: -78.50049380788049,-0.213426073,-78.50049381
CIERRE DE VIAS Y MANIFESTACIONES,#: 1254<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Calle Ladrón de Guevara (Coliseo Rumiñahui)<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.21306816343605275<br>longitud: -78.48900843958101,-0.213068163,-78.48900844
CIERRE DE VIAS Y MANIFESTACIONES,"#: 1195<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Manifestantes en sector coliseo Rumiñahui , cierre parcial de vía<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.21281067315389368<br>longitud: -78.48904062609036",-0.212810673,-78.48904063
CIERRE DE VIAS Y MANIFESTACIONES,#: <br>HORA: <br>FECHA: <br>EVENTO: <br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2097953<br>longitud: -78.4929742,-0.2097953,-78.4929742
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: <br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2087679<br>longitud: -78.4956175,-0.2087679,-78.4956175
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: <br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2065235<br>longitud: -78.4992701,-0.2065235,-78.4992701
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Perez Guerrero y 10 de Agosto<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.205714<br>longitud: -78.4993002,-0.205714,-78.4993002
MANIFESTACIONES,#: <br>HORA: <br>FECHA: <br>EVENTO: 6  de diciembre y Veintimilla<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2054486<br>longitud: -78.4918632,-0.2054486,-78.4918632
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Versalles y C. Bolivia<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2041428<br>longitud: -78.5011154,-0.2041428,-78.5011154
CIERRE DE VIAS Y MANIFESTACIONES,"#: 1170<br>HORA: 00:00 a 02:00<br>FECHA: 6/21/2022<br>EVENTO: Cierre de la Ruta Viva a la altura del puente del Chiche, quema de llantas.<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.20412148399785288<br>longitud: -78.37220836935285",-0.204121484,-78.37220837
CIERRE DE VIAS Y MANIFESTACIONES,#: 1186<br>HORA: 04:00 a 06:00<br>FECHA: 6/21/2022<br>EVENTO: Cierre en el puente del Río Chiche<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.20412148399785288<br>longitud: -78.37220836935285,-0.204121484,-78.37220837
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. América y Bolivia<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2038078<br>longitud: -78.5020465,-0.2038078,-78.5020465
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Bolivia y Av. Universitaria<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2029728<br>longitud: -78.5043689,-0.2029728,-78.5043689
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Versalles y San Gregorio<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2026047<br>longitud: -78.5000345,-0.2026047,-78.5000345
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. América y Antonio Marchena<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.202261<br>longitud: -78.5006508,-0.202261,-78.5006508
CIERRE DE VIAS,#: 1190<br>HORA: 04:00 a 06:00<br>FECHA: 6/21/2022<br>EVENTO: Cierre de vía en la Av. América; alrededores de la universidad Central; amedrantamiento al transporte urbano<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2020664528<br>longitud: -78.50148773,-0.202066453,-78.50148773
CIERRE DE VIAS Y MANIFESTACIONES,#: 1199<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierre de vía en la Av. América; alrededores de la universidad Central; amedrantamiento al transporte urbano<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2020664528<br>longitud: -78.50148773,-0.202066453,-78.50148773
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Versalles y J. Carrión<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2012991<br>longitud: -78.4995993,-0.2012991,-78.4995993
CIERRE DE VIAS Y MANIFESTACIONES,#: 1253<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Plaza Indoamérica<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.20095769627581564<br>longitud: -78.50123755442239,-0.200957696,-78.50123755
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Versalles y Dávalos<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2004872<br>longitud: -78.4993298,-0.2004872,-78.4993298
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Humberto Duque e Interoceánica<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.1988404<br>longitud: -78.3680294,-0.1988404,-78.3680294
CIERRE DE VIAS Y MANIFESTACIONES,#: 1263<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Simón Bolivar - San Martín<br>ESTADO DE MOVILIZACION: PARCIALMENTE HABILITADA<br>latitud: -0.19714719911720507<br>longitud: -78.46682606369825,-0.197147199,-78.46682606
